,cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,results_dir,toml_path,training_replicate_csv_path,checkpoint_path,spect_scalar_path,min_segment_dur,avg_error,animal_id,train_set_dur_ind,species
318,min_segment_dur_majority_vote,0.9779860377204432,0.7105263157894737,0.7743912244890275,1.22846536543137,75,10,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_10/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_10/StandardizeSpect,0.02,2.201396227955688,Bird4,2,Bengalese Finch
319,none,0.9760705381897756,6.7631578947368425,0.7073903483957388,11.15702414151408,75,10,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_10/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_10/StandardizeSpect,0.02,2.392946181022426,Bird4,2,Bengalese Finch
322,min_segment_dur_majority_vote,0.9789484362871174,0.6052631578947368,0.7768937614145218,1.1312802015747798,120,1,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_1/StandardizeSpect,0.02,2.105156371288264,Bird4,3,Bengalese Finch
323,none,0.9778391632165824,4.552631578947368,0.7278433283231878,7.47297652458047,120,1,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_1/StandardizeSpect,0.02,2.2160836783417515,Bird4,3,Bengalese Finch
326,min_segment_dur_majority_vote,0.9802643909405868,0.5789473684210527,0.8211466981903511,0.95320291188276,120,2,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_2/StandardizeSpect,0.02,1.9735609059413184,Bird4,3,Bengalese Finch
327,none,0.978827143006982,6.052631578947368,0.7486818232557286,9.76643485640607,120,2,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_2/StandardizeSpect,0.02,2.1172856993017963,Bird4,3,Bengalese Finch
330,min_segment_dur_majority_vote,0.9789614845796388,0.7105263157894737,0.7807036605128723,1.30858585914831,120,3,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_3/StandardizeSpect,0.02,2.103851542036106,Bird4,3,Bengalese Finch
331,none,0.9770921048293988,5.289473684210527,0.7084207236112482,8.91153536438124,120,3,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_3/StandardizeSpect,0.02,2.29078951706011,Bird4,3,Bengalese Finch
334,min_segment_dur_majority_vote,0.9768754689444902,0.7894736842105263,0.752072094940442,1.44160324095742,120,4,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_4/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_4/StandardizeSpect,0.02,2.3124531055509823,Bird4,3,Bengalese Finch
335,none,0.9756807804911416,5.052631578947368,0.7036388693571917,7.8688587376839605,120,4,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_4/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_120s/replicate_4/StandardizeSpect,0.02,2.4319219508858403,Bird4,3,Bengalese Finch
