cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,avg_error,animal_id,day,train_set_dur_ind
min_segment_dur,0.9833931614940328,6.87037037037037,0.6101523473464051,0.15597525850710897,600,3,TweetyNet,1.6606838505967225,gr41rd51,2012-06-20,0
min_segment_dur_majority_vote,0.9841709224543125,1.2962962962962963,0.6370799594978153,0.031775803331335166,600,3,TweetyNet,1.582907754568752,gr41rd51,2012-06-20,0
none,0.9829180416902347,8.74074074074074,0.5925101269438098,0.20432448110003174,600,3,TweetyNet,1.7081958309765333,gr41rd51,2012-06-20,0
majority_vote,0.9855264524771592,1.7037037037037037,0.6882960488155125,0.040450361664420585,600,4,TweetyNet,1.4473547522840802,gr41rd51,2012-06-20,0
min_segment_dur,0.9865439893016247,3.7222222222222223,0.6888745923707311,0.08233229309481073,600,4,TweetyNet,1.345601069837532,gr41rd51,2012-06-20,0
min_segment_dur_majority_vote,0.9856105326579082,1.0185185185185186,0.6951974337434969,0.023270384398797674,600,4,TweetyNet,1.4389467342091788,gr41rd51,2012-06-20,0
none,0.9864624008483405,4.592592592592593,0.6773319332902804,0.10303336152720287,600,4,TweetyNet,1.353759915165953,gr41rd51,2012-06-20,0
majority_vote,0.9796299782985897,3.388888888888889,0.5199123181513096,0.08002581781897267,600,5,TweetyNet,2.0370021701410335,gr41rd51,2012-06-20,0
min_segment_dur,0.9811158348558828,8.074074074074074,0.5490155915139886,0.17594462210558912,600,5,TweetyNet,1.888416514411717,gr41rd51,2012-06-20,0
min_segment_dur_majority_vote,0.9799576095532336,1.9074074074074074,0.531152589494669,0.043995666365695706,600,5,TweetyNet,2.0042390446766367,gr41rd51,2012-06-20,0
none,0.9807830695511922,9.685185185185185,0.5369114155807496,0.2155334507445776,600,5,TweetyNet,1.921693044880779,gr41rd51,2012-06-20,0
majority_vote,0.9839423831042269,2.4814814814814814,0.5597598756027568,0.058367353946651816,600,6,TweetyNet,1.605761689577312,gr41rd51,2012-06-20,0
