,Species,Model,Input to model,animal_id,train_set_dur,mean_seg_err,median_seg_err,std_seg_err
119,Canaries,SVM,"segmented audio, manually cleaned",llb11,600,4.058027959040346,3.8617582310365,0.5444292260967981
120,Canaries,SVM,"segmented audio, manually cleaned",llb11,660,3.6182989297417008,3.6642828014910296,0.23643843436150033
121,Canaries,SVM,"segmented audio, manually cleaned",llb16,190,8.916128424300338,8.96395110277412,0.7879011164345432
122,Canaries,SVM,"segmented audio, manually cleaned",llb16,240,8.331945692742769,7.66087784087397,1.2661689155664506
123,Canaries,SVM,"segmented audio, manually cleaned",llb16,300,7.939669124486999,7.137192778173721,1.247796429196401
124,Canaries,SVM,"segmented audio, manually cleaned",llb16,360,7.508452517615646,7.600835700809309,0.5097711451884401
125,Canaries,SVM,"segmented audio, manually cleaned",llb16,420,6.778956846662085,6.633532684421479,0.6298805799714674
126,Canaries,SVM,"segmented audio, manually cleaned",llb16,480,8.123467128247006,7.61488100941532,1.7363994438449597
127,Canaries,SVM,"segmented audio, manually cleaned",llb16,540,6.6189408752006775,6.790419235042661,0.6627554571933276
128,Canaries,SVM,"segmented audio, manually cleaned",llb16,600,6.15860055851874,6.1519094067777,0.4229827580045453
129,Canaries,SVM,"segmented audio, manually cleaned",llb16,660,6.315499826876369,6.03437036112299,0.8286175917751942
130,Canaries,SVM,"segmented audio, manually cleaned",llb3,120,6.480071267932748,6.11573769292202,0.8822360335557291
131,Canaries,SVM,"segmented audio, manually cleaned",llb3,180,4.787510811797175,4.7565080620816,0.7558534447581843
132,Canaries,SVM,"segmented audio, manually cleaned",llb3,240,4.15933434746706,3.5672817198261098,1.270122270081195
133,Canaries,SVM,"segmented audio, manually cleaned",llb3,300,3.7237855858082543,3.6632066239616403,0.32504319531837483
134,Canaries,SVM,"segmented audio, manually cleaned",llb3,360,3.3017187266844314,3.2539056943459204,0.3835806783308948
135,Canaries,SVM,"segmented audio, manually cleaned",llb3,420,3.0728313479729814,3.02169853546917,0.22958355300040892
136,Canaries,SVM,"segmented audio, manually cleaned",llb3,480,3.1158607125037725,2.70465886960383,0.7496217609969568
137,Canaries,SVM,"segmented audio, manually cleaned",llb3,540,2.638717200671816,2.5003072339514603,0.5107406652942343
138,Canaries,SVM,"segmented audio, manually cleaned",llb3,600,2.579698784311666,2.68341861855792,0.23956740506737934
139,Canaries,SVM,"segmented audio, manually cleaned",llb3,660,2.485185345253513,2.61896345440514,0.27252624568728084
140,Canaries,SVM,"segmented audio, not cleaned",llb11,190,103.91041898253845,103.51278329747504,3.153679528948891
141,Canaries,SVM,"segmented audio, not cleaned",llb11,240,102.17920415398319,103.10741300153097,1.8533029628521163
142,Canaries,SVM,"segmented audio, not cleaned",llb11,300,102.31492984894443,102.80107408718808,2.1001819577463494
143,Canaries,SVM,"segmented audio, not cleaned",llb11,360,101.65684566289292,101.7174838685715,1.940269240391516
144,Canaries,SVM,"segmented audio, not cleaned",llb11,420,100.47837161502518,100.22360243571795,1.7576353342868467
145,Canaries,SVM,"segmented audio, not cleaned",llb11,480,100.91613188926848,101.56780827265305,2.496867169667582
146,Canaries,SVM,"segmented audio, not cleaned",llb11,540,100.11407857459903,99.91012153847517,1.5250600262068548
147,Canaries,SVM,"segmented audio, not cleaned",llb11,600,99.15902116781923,99.70178984382669,2.0897226812554375
148,Canaries,SVM,"segmented audio, not cleaned",llb11,660,100.64072333925778,102.02778386075839,2.21306530891802
149,Canaries,SVM,"segmented audio, not cleaned",llb16,190,17.981396200573023,17.74626784318846,0.7369588944594204
150,Canaries,SVM,"segmented audio, not cleaned",llb16,240,17.352354080100742,16.93572415837033,1.1939390728022694
151,Canaries,SVM,"segmented audio, not cleaned",llb16,300,17.213626258665037,16.92152177574613,1.099743378418685
152,Canaries,SVM,"segmented audio, not cleaned",llb16,360,16.71391740450407,16.727612616209,0.47392162801558935
153,Canaries,SVM,"segmented audio, not cleaned",llb16,420,16.20276278843385,16.258564118283083,0.5026462880655873
154,Canaries,SVM,"segmented audio, not cleaned",llb16,480,17.17147794281575,16.99920368019951,1.504237915636228
155,Canaries,SVM,"segmented audio, not cleaned",llb16,540,16.204176599052094,16.35453730959394,0.5356806036005894
156,Canaries,SVM,"segmented audio, not cleaned",llb16,600,15.472438580159865,15.430914764657341,0.43303220599384057
157,Canaries,SVM,"segmented audio, not cleaned",llb16,660,15.596359365560076,15.784820667916641,0.7198461833929208
158,Canaries,SVM,"segmented audio, not cleaned",llb3,120,30.269737715769605,30.12845724347677,1.0179362695464285
159,Canaries,SVM,"segmented audio, not cleaned",llb3,180,28.826228857884807,28.00738473076586,1.6853945513177735
160,Canaries,SVM,"segmented audio, not cleaned",llb3,240,27.70454562144218,27.922445310902127,1.6819606177164041
161,Canaries,SVM,"segmented audio, not cleaned",llb3,300,27.06233310447356,27.27544222761324,1.380617134124669
162,Canaries,SVM,"segmented audio, not cleaned",llb3,360,26.79704282119125,26.786921928707542,1.2737294619411315
163,Canaries,SVM,"segmented audio, not cleaned",llb3,420,26.344190665352322,26.01222284074929,1.0417031356908721
164,Canaries,SVM,"segmented audio, not cleaned",llb3,480,26.294825040801577,26.025890692157212,1.0477883583989511
165,Canaries,SVM,"segmented audio, not cleaned",llb3,540,25.41920122743713,25.044925508689047,1.1358010362605628
166,Canaries,SVM,"segmented audio, not cleaned",llb3,600,25.606736624918963,25.565683367366372,0.8583308175752049
167,Canaries,SVM,"segmented audio, not cleaned",llb3,660,25.13864758661835,24.99368952600777,1.0474952780263571
168,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,190,64.35107117756436,64.3129867947908,2.7346569359953574
169,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,240,62.85938666171249,63.29409488243354,1.3961194673104025
170,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,300,62.82763097699673,63.42730958901467,1.4704264195608647
171,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,360,62.51026212453366,62.63741313448076,1.7585866552015248
172,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,420,61.43968403857657,61.39306343049225,1.1916694939830534
173,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,480,61.44619480840607,62.32048230157066,1.9102426666580707
174,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,540,60.88091042363851,60.9070633760361,1.2958013759787192
175,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,600,59.97111948436543,60.95573377368022,1.8864550831794995
176,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,660,61.33042089403064,61.97183831669513,1.8840615575647277
177,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,190,14.093525795668679,13.88686242340103,0.6827532507187619
178,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,240,13.620525379094035,13.15819008623526,1.1450621200452322
179,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,300,13.281235643175474,12.91653608402002,1.0178711878267266
180,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,360,12.951992702946239,12.927507264395349,0.4660299463577241
181,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,420,12.51852209127594,12.719223081091998,0.5972893227955552
182,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,480,13.533555810562973,13.350087617540021,1.5087717144019177
183,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,540,12.452021648488003,12.49765949911265,0.48843945644753106
184,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,600,11.739898480349888,11.665717824972429,0.3366221550229858
185,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,660,11.934967923190555,11.91390346526828,0.720842597525323
186,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,120,27.97895579320608,27.851727446784007,1.09630078629164
187,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,180,26.633634031377962,25.76116323335787,1.605659513875755
188,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,240,25.56441490545193,25.83587934636824,1.611204434043253
189,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,300,24.910662431690817,25.03496474383338,1.4028563014152402
190,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,360,24.6704634158134,24.75804237496718,1.2442825124979222
191,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,420,24.25139800053746,23.97282134852301,1.0713162734874309
192,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,480,24.19898404563156,24.05254078212365,1.0222823382507646
193,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,540,23.29658083118725,22.95686372383008,1.0925447657670373
194,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,600,23.493088875496117,23.50082721651028,0.8225698831786932
195,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,660,23.027315404117697,22.90247147953428,1.0312753559668566
196,Canaries,TweetyNet,spectrogram,llb11,190,14.480136856228905,14.16233628277133,2.8786103625452744
197,Canaries,TweetyNet,spectrogram,llb11,240,11.405313378167222,9.02134608223705,7.202060760064024
198,Canaries,TweetyNet,spectrogram,llb11,300,9.4963984451267,7.79522855941545,3.6554912836582587
199,Canaries,TweetyNet,spectrogram,llb11,360,8.33799568380285,8.11424376422012,2.662229070382737
