cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,avg_error,animal_id,train_set_dur_ind,hyperparam_expt,hyperparam_val,species
none,0.97752384100288,9.878048780487806,0.6124389632723576,17.55912312799467,480,5,TweetyNet,2.247615899711985,Bird0,5,hidden_size,16,Bengalese Finch
majority_vote,0.9832494971711756,1.3414634146341464,0.7614179077388837,2.60821316924859,480,6,TweetyNet,1.6750502828824398,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur,0.9808743652924294,7.73170731707317,0.6637400219480206,13.85419528946057,480,6,TweetyNet,1.912563470757056,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.983591951467052,0.8292682926829268,0.783100965289201,1.37400531884558,480,6,TweetyNet,1.6408048532948083,Bird0,5,hidden_size,16,Bengalese Finch
none,0.9805453122294668,8.365853658536585,0.6488717104097864,15.299300226688562,480,6,TweetyNet,1.9454687770533277,Bird0,5,hidden_size,16,Bengalese Finch
majority_vote,0.9829052161580886,2.1951219512195124,0.720463099426237,4.94075373407224,480,7,TweetyNet,1.7094783841911432,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur,0.9813166247405404,8.512195121951219,0.6641242306064006,15.04705089851885,480,7,TweetyNet,1.8683375259459731,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9834951029423744,0.7804878048780488,0.7585241416460975,1.40475987857135,480,7,TweetyNet,1.65048970576257,Bird0,5,hidden_size,16,Bengalese Finch
none,0.9807308186395248,10.195121951219512,0.635238448928748,18.99758280738929,480,7,TweetyNet,1.9269181360475172,Bird0,5,hidden_size,16,Bengalese Finch
majority_vote,0.9834295951391908,2.1707317073170733,0.7562038444597624,4.84536740009094,480,8,TweetyNet,1.6570404860809074,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur,0.9817393289713162,7.853658536585366,0.6748715289567879,13.54670328740307,480,8,TweetyNet,1.8260671028683784,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9837837133272164,0.7804878048780488,0.7790112966699233,1.48455718752678,480,8,TweetyNet,1.621628667278352,Bird0,5,hidden_size,16,Bengalese Finch
none,0.9813996892279666,9.317073170731708,0.6561827734889856,16.99441520430473,480,8,TweetyNet,1.860031077203339,Bird0,5,hidden_size,16,Bengalese Finch
majority_vote,0.9822296679996784,1.7560975609756098,0.7364611577981387,3.80755564726811,480,9,TweetyNet,1.777033200032152,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur,0.9802253199393036,7.780487804878049,0.6458753165281844,15.62819042847085,480,9,TweetyNet,1.9774680060696488,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9825011094234984,0.951219512195122,0.7533548915693437,1.70936643539974,480,9,TweetyNet,1.749889057650167,Bird0,5,hidden_size,16,Bengalese Finch
none,0.979956875596327,8.707317073170731,0.6346408802295994,18.03159692164923,480,9,TweetyNet,2.004312440367295,Bird0,5,hidden_size,16,Bengalese Finch
majority_vote,0.9794262424984796,1.8780487804878048,0.6761537187885301,3.7776209849156404,480,10,TweetyNet,2.057375750152035,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur,0.9771904984491994,9.951219512195122,0.5922912911263504,18.718947119637,480,10,TweetyNet,2.280950155080064,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9798038403698798,1.146341463414634,0.6914033706030944,2.16646316308413,480,10,TweetyNet,2.0196159630120225,Bird0,5,hidden_size,16,Bengalese Finch
none,0.9768205548203548,10.804878048780488,0.5814313474338323,20.533710455784522,480,10,TweetyNet,2.317944517964532,Bird0,5,hidden_size,16,Bengalese Finch
